epoch_ms,total_s,http_code
1786475005984,0.008,200
1786475006984,0.007,200
1786475007984,0.010,200
1786475008985,0.007,200
1786475009985,0.013,200
1786475010985,0.102,200
1786475011985,0.166,200
1786475012985,0.009,200
1786475013985,0.021,200
1786475014985,0.057,200
1786475015986,0.051,200
1786475016986,0.009,200
1786475017986,0.142,200
1786475018986,0.009,200
1786475019986,0.009,200
1786475020986,0.011,200
1786475021987,0.008,200
1786475022987,0.008,200
1786475023987,0.007,200
1786475024987,0.008,200
1786475025987,0.037,200
1786475026988,0.054,200
1786475027988,0.010,200
1786475028988,0.008,200
1786475029988,0.008,200
1786475030988,0.078,200
1786475031988,0.577,200
1786475032989,0.008,200
1786475033989,0.008,200
1786475034989,0.008,200
1786475035989,0.008,200
1786475036989,0.191,200
1786475037989,0.106,200
1786475038990,0.229,200
1786475039990,0.227,200
1786475040990,0.132,200
1786475041990,0.011,200
1786475042990,0.069,200
1786475043990,0.242,200
1786475044990,0.052,200
1786475045991,0.190,200
1786475046991,0.077,200
1786475047991,0.031,200
1786475048991,0.123,200
1786475049991,0.089,200
1786475050991,0.008,200
1786475051992,0.097,200
1786475052992,0.176,200
1786475053992,0.017,200
1786475054992,0.117,200
1786475055992,0.095,200
1786475056993,0.131,200
1786475057993,0.044,200
1786475058993,0.045,200
1786475059993,0.049,200
1786475060993,0.053,200
1786475061993,0.130,200
1786475062993,0.007,200
1786475063994,0.007,200
1786475064994,0.031,200
1786475065994,0.079,200
1786475066994,0.049,200
1786475067994,0.071,200
1786475068994,0.094,200
1786475069995,0.125,200
1786475070995,0.008,200
1786475071995,0.045,200
1786475072995,0.221,200
1786475073995,0.222,200
1786475074996,0.017,200
1786475075996,0.075,200
1786475076996,0.030,200
1786475077996,0.086,200
1786475078996,0.282,200
1786475079996,0.086,200
1786475080997,0.042,200
1786475081997,0.062,200
1786475082997,0.286,200
1786475083997,0.090,200
1786475084997,0.092,200
1786475085997,0.188,200
1786475086997,0.134,200
1786475087998,0.063,200
1786475088998,0.039,200
1786475089998,0.115,200
1786475090998,0.052,200
1786475091998,0.177,200
1786475092998,0.125,200
1786475093999,0.131,200
1786475094999,0.320,200
1786475095999,0.011,200
1786475096999,0.154,200
1786475097999,0.100,200
1786475098999,0.086,200
1786475100000,0.014,200
1786475101000,0.031,200
1786475102000,0.454,200
