epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421726720,200,0.007,0.000,0.007
1786421727720,200,0.013,0.000,0.013
1786421728720,200,0.154,0.000,0.154
1786421729720,200,0.126,0.000,0.126
1786421730720,200,0.145,0.000,0.145
1786421731720,200,0.028,0.000,0.028
1786421732721,200,0.097,0.000,0.097
1786421733721,200,0.011,0.000,0.010
1786421734721,200,0.035,0.000,0.035
1786421735721,200,0.028,0.000,0.028
1786421736721,200,0.036,0.000,0.036
1786421737721,200,1.042,0.000,1.042
1786421738763,200,0.015,0.000,0.015
1786421739763,200,0.160,0.000,0.160
1786421740764,200,0.078,0.000,0.078
1786421741764,200,0.028,0.000,0.028
1786421742764,200,0.129,0.000,0.129
1786421743764,200,0.006,0.000,0.006
1786421744764,200,0.024,0.000,0.024
1786421745764,200,0.008,0.000,0.008
1786421746764,200,0.119,0.000,0.119
1786421747764,200,0.019,0.000,0.019
1786421748764,200,0.007,0.000,0.007
1786421749765,200,0.008,0.000,0.008
1786421750765,200,0.012,0.000,0.012
1786421751766,200,0.008,0.000,0.008
1786421752766,200,0.020,0.000,0.020
1786421753766,200,0.012,0.000,0.012
1786421754766,200,0.103,0.000,0.103
1786421755766,200,0.011,0.000,0.011
1786421756766,200,0.019,0.000,0.019
1786421757766,200,0.008,0.000,0.008
1786421758766,200,0.012,0.000,0.012
1786421759767,200,0.023,0.000,0.023
1786421760767,200,0.013,0.000,0.013
1786421761767,200,0.632,0.000,0.631
1786421762767,200,0.905,0.000,0.905
1786421763767,200,2.711,0.000,2.711
1786421766478,200,1.747,0.000,1.747
1786421768225,200,0.738,0.000,0.738
1786421769226,200,1.725,0.000,1.725
1786421770951,200,0.619,0.000,0.619
1786421771951,200,0.209,0.000,0.209
1786421772951,200,0.109,0.000,0.109
1786421773951,200,0.017,0.000,0.016
1786421774951,200,0.057,0.000,0.057
1786421775952,200,0.007,0.000,0.007
1786421776952,200,0.013,0.000,0.013
1786421777952,200,0.034,0.000,0.034
1786421778952,200,0.030,0.000,0.030
1786421779952,200,0.021,0.000,0.021
1786421780952,200,0.009,0.000,0.009
1786421781952,200,0.017,0.000,0.017
1786421782952,200,0.041,0.000,0.041
1786421783952,200,0.020,0.000,0.020
1786421784952,200,0.009,0.000,0.009
1786421785953,200,0.007,0.000,0.007
1786421786953,200,0.153,0.000,0.153
1786421787953,200,0.007,0.000,0.007
1786421788953,200,0.138,0.000,0.138
1786421789953,200,0.117,0.000,0.117
1786421790953,200,0.154,0.000,0.154
1786421791953,200,0.033,0.000,0.033
1786421792953,200,0.153,0.000,0.153
1786421793953,200,0.031,0.000,0.031
1786421794954,200,0.194,0.000,0.194
1786421795954,200,0.054,0.000,0.053
1786421796954,200,0.075,0.000,0.075
1786421797954,200,0.042,0.000,0.042
1786421798954,200,0.007,0.000,0.007
1786421799954,200,0.128,0.000,0.128
1786421800954,200,0.010,0.000,0.010
1786421801954,200,0.011,0.000,0.011
1786421802954,200,1.728,0.000,1.727
1786421804682,200,0.015,0.000,0.015
