epoch_ms,endpoint,http_code,total_s,bytes,regime_lab_status
1786422117929,/api/research/regime-lab?view=pooled,200,0.129,13307,absent
1786422120058,/api/research/regime-lab?view=pooled,200,0.213,13307,absent
1786422122271,/api/research/regime-lab?view=pooled,200,0.248,13307,absent
1786422124520,/api/research/regime-lab?view=pooled,200,0.234,13307,absent
1786422126754,/api/research/regime-lab?view=pooled,200,0.252,13307,absent
1786422129006,/api/research/regime-lab?view=pooled,200,0.115,13307,absent
1786422131121,/api/research/regime-lab?view=pooled,200,0.170,13307,absent
1786422133291,/api/research/regime-lab?view=pooled,200,0.161,13307,absent
1786422135452,/api/research/regime-lab?view=pooled,200,0.291,13307,absent
1786422137744,/api/research/regime-lab?view=pooled,200,0.554,13307,absent
1786422140298,/api/research/regime-lab?view=pooled,200,0.176,13307,absent
1786422142474,/api/research/regime-lab?view=pooled,200,0.195,13307,absent
1786422144669,/api/research/regime-lab?view=pooled,200,0.079,13307,absent
1786422146749,/api/research/regime-lab?view=pooled,200,0.091,13307,absent
1786422148839,/api/research/regime-lab?view=pooled,200,0.127,13307,absent
1786422150966,/api/research/regime-lab?view=pooled,200,0.108,13307,absent
1786422153075,/api/research/regime-lab?view=pooled,200,0.157,13307,absent
1786422155232,/api/research/regime-lab?view=pooled,200,0.205,13307,absent
1786422157437,/api/research/regime-lab?view=pooled,200,0.062,13307,absent
1786422159499,/api/research/regime-lab?view=pooled,200,0.071,13307,absent
1786422161571,/api/research/regime-lab?view=pooled,200,0.172,13307,absent
1786422163743,/api/research/regime-lab?view=pooled,200,0.070,13307,absent
1786422165813,/api/research/regime-lab?view=pooled,200,0.109,13307,absent
1786422167923,/api/research/regime-lab?view=pooled,200,0.165,13307,absent
1786422170088,/api/research/regime-lab?view=pooled,200,0.571,13307,absent
1786422172659,/api/research/regime-lab?view=pooled,200,0.053,13307,absent
1786422174712,/api/research/regime-lab?view=pooled,200,0.069,13307,absent
1786422176781,/api/research/regime-lab?view=pooled,200,0.138,13307,absent
1786422178919,/api/research/regime-lab?view=pooled,200,0.133,13307,absent
1786422181052,/api/research/regime-lab?view=pooled,200,0.187,13307,absent
1786422183239,/api/research/regime-lab?view=pooled,200,0.169,13307,absent
1786422185408,/api/research/regime-lab?view=pooled,200,0.271,13307,absent
1786422187679,/api/research/regime-lab?view=pooled,200,0.131,13307,absent
1786422189810,/api/research/regime-lab?view=pooled,200,0.173,13307,absent
1786422191984,/api/research/regime-lab?view=pooled,200,0.186,13307,absent
1786422194170,/api/research/regime-lab?view=pooled,200,0.181,13307,absent
1786422196351,/api/research/regime-lab?view=pooled,200,0.104,13307,absent
1786422198455,/api/research/regime-lab?view=pooled,200,0.204,13307,absent
1786422200659,/api/research/regime-lab?view=pooled,200,0.268,13307,absent
1786422202927,/api/research/regime-lab?view=pooled,200,0.229,13307,absent
1786422205157,/api/research/regime-lab?view=pooled,200,0.231,13307,absent
1786422207387,/api/research/regime-lab?view=pooled,200,0.068,13307,absent
1786422209456,/api/research/regime-lab?view=pooled,200,0.158,13307,absent
1786422211614,/api/research/regime-lab?view=pooled,200,0.174,13307,absent
1786422213787,/api/research/regime-lab?view=pooled,200,0.196,13307,absent
1786422215984,/api/research/regime-lab?view=pooled,200,0.220,13307,absent
1786422218204,/api/research/regime-lab?view=pooled,200,0.635,13307,absent
1786422220839,/api/research/regime-lab?view=pooled,200,0.139,13307,absent
1786422222978,/api/research/regime-lab?view=pooled,200,0.178,13307,absent
1786422225157,/api/research/regime-lab?view=pooled,200,0.198,13307,absent
1786422227355,/api/research/regime-lab?view=pooled,200,0.184,13307,absent
1786422229539,/api/research/regime-lab?view=pooled,200,0.131,13307,absent
1786422231669,/api/research/regime-lab?view=pooled,200,0.193,13307,absent
1786422233863,/api/research/regime-lab?view=pooled,200,0.172,13307,absent
1786422236035,/api/research/regime-lab?view=pooled,200,0.112,13307,absent
1786422238148,/api/research/regime-lab?view=pooled,200,0.230,13307,absent
1786422240378,/api/research/regime-lab?view=pooled,200,0.058,13307,absent
1786422242437,/api/research/regime-lab?view=pooled,200,0.147,13307,absent
1786422244584,/api/research/regime-lab?view=pooled,200,0.297,13307,absent
1786422246881,/api/research/regime-lab?view=pooled,200,0.102,13307,absent
1786422248983,/api/research/regime-lab?view=pooled,200,0.370,13307,absent
1786422251354,/api/research/regime-lab?view=pooled,200,0.132,13307,absent
1786422253486,/api/research/regime-lab?view=pooled,200,0.248,13307,absent
1786422255734,/api/research/regime-lab?view=pooled,200,0.207,13307,absent
1786422257941,/api/research/regime-lab?view=pooled,200,0.152,13307,absent
1786422260093,/api/research/regime-lab?view=pooled,200,0.121,13307,absent
1786422262214,/api/research/regime-lab?view=pooled,200,0.211,13307,absent
1786422264425,/api/research/regime-lab?view=pooled,200,0.118,13307,absent
1786422266544,/api/research/regime-lab?view=pooled,200,0.129,13307,absent
1786422268673,/api/research/regime-lab?view=pooled,200,0.156,13307,absent
1786422270829,/api/research/regime-lab?view=pooled,200,0.069,13307,absent
1786422272898,/api/research/regime-lab?view=pooled,200,0.122,13307,absent
1786422275020,/api/research/regime-lab?view=pooled,200,0.175,13307,absent
1786422277195,/api/research/regime-lab?view=pooled,200,0.328,13307,absent
1786422279523,/api/research/regime-lab?view=pooled,200,0.200,13307,absent
1786422281724,/api/research/regime-lab?view=pooled,200,0.125,13307,absent
1786422283849,/api/research/regime-lab?view=pooled,200,0.213,13307,absent
1786422286062,/api/research/regime-lab?view=pooled,200,0.257,13307,absent
1786422288319,/api/research/regime-lab?view=pooled,200,0.226,13307,absent
1786422290545,/api/research/regime-lab?view=pooled,200,0.090,13307,absent
1786422292635,/api/research/regime-lab?view=pooled,200,0.085,13307,absent
