epoch_ms,endpoint,http_code,total_s,bytes
1786159305236,/api/research/factor-combination,200,0.008,4856
1786159307245,/api/research/factor-lab?all=true,200,0.014,117993
1786159309258,/api/research/factor-combination,200,0.009,4856
1786159311267,/api/research/factor-lab?all=true,200,0.012,117993
1786159313280,/api/research/factor-combination,200,0.008,4856
1786159315287,/api/research/factor-lab?all=true,200,0.012,117993
1786159317300,/api/research/factor-combination,200,0.047,4856
1786159319347,/api/research/factor-lab?all=true,200,0.049,117993
1786159321396,/api/research/factor-combination,200,0.009,4856
1786159323405,/api/research/factor-lab?all=true,200,0.012,117993
1786159325417,/api/research/factor-combination,200,0.007,4856
1786159327423,/api/research/factor-lab?all=true,200,0.011,117993
1786159329434,/api/research/factor-combination,200,0.009,4856
1786159331443,/api/research/factor-lab?all=true,200,0.012,117993
1786159333455,/api/research/factor-combination,200,0.006,4856
