epoch_ms,http_code,total_s,connect_s,ttfb_s
1786158536791,200,1.671,0.000,1.671
1786158538462,200,0.942,0.000,0.942
1786158539462,200,1.239,0.000,1.239
1786158540701,200,1.610,0.000,1.610
1786158542311,200,0.978,0.000,0.978
1786158543311,200,1.402,0.000,1.402
1786158544713,200,1.412,0.000,1.412
1786158546125,200,1.744,0.000,1.744
1786158547869,200,1.003,0.000,1.003
1786158548871,200,1.281,0.000,1.280
1786158550152,200,1.581,0.000,1.581
1786158551733,200,1.278,0.000,1.277
1786158553010,200,1.652,0.000,1.652
1786158554662,200,1.601,0.000,1.601
1786158556264,200,1.008,0.000,1.008
1786158557271,200,1.180,0.000,1.180
1786158558451,200,1.224,0.000,1.224
1786158559675,200,1.502,0.000,1.502
1786158561177,200,0.724,0.000,0.724
1786158562177,200,1.143,0.000,1.143
1786158563321,200,2.413,0.000,2.413
1786158565734,200,1.211,0.000,1.211
1786158566945,200,1.803,0.000,1.803
1786158568748,200,1.597,0.000,1.597
1786158570345,200,1.026,0.000,1.026
1786158571371,200,1.408,0.000,1.408
1786158572779,200,1.841,0.000,1.841
1786158574620,200,1.434,0.000,1.434
1786158576054,200,1.038,0.000,1.038
1786158577093,200,1.232,0.000,1.232
1786158578324,200,1.320,0.000,1.320
1786158579645,200,1.283,0.000,1.283
1786158580928,200,0.950,0.000,0.950
1786158581928,200,1.100,0.000,1.100
1786158583028,200,1.764,0.000,1.764
1786158584792,200,0.754,0.000,0.754
1786158585792,200,1.323,0.000,1.323
1786158587115,200,1.319,0.000,1.319
1786158588433,200,1.450,0.000,1.450
1786158589883,200,0.566,0.000,0.566
1786158590883,200,1.344,0.000,1.344
1786158592228,200,1.215,0.000,1.215
1786158593443,200,1.229,0.000,1.229
1786158594672,200,0.486,0.000,0.486
1786158595672,200,1.299,0.000,1.299
1786158596971,200,1.270,0.000,1.270
1786158598241,200,1.177,0.000,1.177
1786158599419,200,1.354,0.000,1.353
1786158600772,200,1.566,0.000,1.566
1786158602338,200,1.417,0.000,1.417
1786158603755,200,0.488,0.000,0.488
1786158604755,200,0.836,0.000,0.836
1786158605755,200,1.902,0.000,1.902
1786158607657,200,1.393,0.000,1.393
1786158609050,200,1.622,0.000,1.622
1786158610672,200,2.035,0.000,2.035
1786158612707,200,0.573,0.000,0.573
1786158613707,200,1.253,0.000,1.253
1786158614960,200,1.688,0.000,1.688
1786158616648,200,1.098,0.000,1.098
1786158617746,200,1.415,0.000,1.415
1786158619161,200,2.001,0.000,2.001
1786158621161,200,1.301,0.000,1.301
1786158622463,200,1.371,0.000,1.371
1786158623834,200,1.480,0.000,1.480
1786158625314,200,1.311,0.000,1.311
1786158626625,200,0.612,0.000,0.612
1786158627625,200,1.302,0.000,1.302
1786158628927,200,1.403,0.000,1.403
1786158630330,200,1.635,0.000,1.635
1786158631966,200,1.059,0.000,1.059
1786158633025,200,1.242,0.000,1.242
1786158634267,200,1.608,0.000,1.608
1786158635875,200,1.280,0.000,1.280
1786158637155,200,1.427,0.000,1.427
1786158638583,200,1.807,0.000,1.807
1786158640390,200,0.890,0.000,0.890
1786158641390,200,1.291,0.000,1.291
1786158642680,200,1.225,0.000,1.225
1786158643906,200,1.287,0.000,1.287
1786158645193,200,0.792,0.000,0.792
1786158646193,200,1.055,0.000,1.055
1786158647248,200,1.509,0.000,1.509
1786158648756,200,1.297,0.000,1.297
1786158650054,200,1.271,0.000,1.271
1786158651324,200,1.675,0.000,1.675
1786158652999,200,1.549,0.000,1.549
1786158654548,200,0.953,0.000,0.953
1786158655548,200,1.211,0.000,1.211
1786158656759,200,1.245,0.000,1.245
1786158658004,200,1.116,0.000,1.116
1786158659119,200,1.246,0.000,1.246
1786158660365,200,1.461,0.000,1.461
1786158661826,200,1.503,0.000,1.503
1786158663330,200,1.003,0.000,1.003
1786158664332,200,1.309,0.000,1.309
1786158665641,200,1.591,0.000,1.591
1786158667232,200,1.065,0.000,1.065
1786158668297,200,2.025,0.000,2.025
1786158670323,200,1.993,0.000,1.993
1786158672316,200,0.735,0.000,0.735
1786158673316,200,0.950,0.000,0.949
1786158674316,200,1.469,0.000,1.469
