epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784887052,5,200,1.120262,ready,2026-07-22
1784887052,4,200,1.103387,ready,2026-07-22
1784887052,3,200,1.107789,ready,2026-07-22
1784887053,4,200,1.009408,ready,2026-07-22
1784887053,6,200,1.118042,ready,2026-07-22
1784887053,1,200,1.115074,ready,2026-07-22
1784887053,3,200,1.036472,ready,2026-07-22
1784887053,5,200,1.074207,ready,2026-07-22
1784887053,2,200,1.088971,ready,2026-07-22
1784887054,1,200,1.061660,ready,2026-07-22
1784887054,6,200,1.095651,ready,2026-07-22
1784887054,5,200,1.068023,ready,2026-07-22
1784887054,4,200,1.136046,ready,2026-07-22
1784887054,3,200,1.155917,ready,2026-07-22
1784887054,2,200,1.138437,ready,2026-07-22
1784887055,6,200,1.107678,ready,2026-07-22
1784887055,1,200,1.143119,ready,2026-07-22
1784887055,5,200,1.127059,ready,2026-07-22
1784887055,4,200,1.119300,ready,2026-07-22
1784887055,2,200,1.071137,ready,2026-07-22
1784887055,3,200,1.084771,ready,2026-07-22
1784887056,6,200,1.047557,ready,2026-07-22
1784887056,5,200,1.032891,ready,2026-07-22
1784887056,1,200,1.060850,ready,2026-07-22
1784887056,4,200,1.055582,ready,2026-07-22
1784887056,2,200,1.053650,ready,2026-07-22
1784887056,3,200,1.052466,ready,2026-07-22
1784887057,6,200,1.094826,ready,2026-07-22
1784887057,5,200,1.080085,ready,2026-07-22
1784887057,3,200,1.052560,ready,2026-07-22
1784887057,4,200,1.086264,ready,2026-07-22
1784887057,1,200,1.112672,ready,2026-07-22
1784887057,2,200,1.100671,ready,2026-07-22
1784887058,3,200,1.034288,ready,2026-07-22
1784887058,1,200,1.034769,ready,2026-07-22
1784887058,6,200,1.088633,ready,2026-07-22
1784887058,5,200,1.102409,ready,2026-07-22
1784887058,4,200,1.081702,ready,2026-07-22
1784887058,2,200,1.069869,ready,2026-07-22
1784887059,3,200,1.048372,ready,2026-07-22
1784887059,1,200,1.087222,ready,2026-07-22
1784887059,6,200,1.095208,ready,2026-07-22
1784887059,5,200,1.086592,ready,2026-07-22
1784887059,4,200,1.076750,ready,2026-07-22
1784887059,2,200,1.085422,ready,2026-07-22
1784887061,1,200,1.059176,ready,2026-07-22
1784887061,4,200,1.051681,ready,2026-07-22
1784887061,5,200,1.058471,ready,2026-07-22
1784887061,3,200,1.154857,ready,2026-07-22
1784887061,6,200,1.081189,ready,2026-07-22
1784887061,2,200,1.070736,ready,2026-07-22
1784887062,4,200,1.057535,ready,2026-07-22
1784887062,5,200,1.069046,ready,2026-07-22
1784887062,1,200,1.147685,ready,2026-07-22
1784887062,2,200,1.096759,ready,2026-07-22
1784887062,6,200,1.124251,ready,2026-07-22
1784887062,3,200,1.146009,ready,2026-07-22
1784887063,4,200,1.091851,ready,2026-07-22
1784887063,5,200,1.091962,ready,2026-07-22
1784887063,1,200,1.054280,ready,2026-07-22
1784887063,2,200,1.050509,ready,2026-07-22
1784887063,6,200,1.056267,ready,2026-07-22
1784887063,3,200,1.044956,ready,2026-07-22
1784887064,1,200,1.027379,ready,2026-07-22
1784887064,2,200,1.032921,ready,2026-07-22
1784887064,5,200,1.072296,ready,2026-07-22
1784887064,4,200,1.098096,ready,2026-07-22
1784887064,6,200,1.104449,ready,2026-07-22
1784887064,3,200,1.102806,ready,2026-07-22
1784887065,1,200,1.096227,ready,2026-07-22
1784887065,4,200,1.077315,ready,2026-07-22
1784887065,2,200,1.105695,ready,2026-07-22
1784887065,5,200,1.097502,ready,2026-07-22
1784887065,3,200,1.046475,ready,2026-07-22
1784887065,6,200,1.063644,ready,2026-07-22
1784887066,5,200,1.049016,ready,2026-07-22
1784887066,1,200,1.089382,ready,2026-07-22
1784887066,4,200,1.091209,ready,2026-07-22
1784887066,2,200,1.091941,ready,2026-07-22
1784887066,3,200,1.073049,ready,2026-07-22
1784887066,6,200,1.094179,ready,2026-07-22
1784887067,5,200,1.086812,ready,2026-07-22
1784887067,1,200,1.100707,ready,2026-07-22
1784887067,2,200,1.091809,ready,2026-07-22
1784887067,4,200,1.092264,ready,2026-07-22
1784887067,3,200,1.092068,ready,2026-07-22
1784887067,6,200,1.079102,ready,2026-07-22
1784887068,5,200,1.068893,ready,2026-07-22
1784887068,1,200,1.063521,ready,2026-07-22
1784887068,4,200,1.058254,ready,2026-07-22
1784887068,2,200,1.070129,ready,2026-07-22
1784887068,3,200,1.070263,ready,2026-07-22
1784887068,6,200,1.072117,ready,2026-07-22
1784887069,1,200,1.031973,ready,2026-07-22
1784887069,5,200,1.068933,ready,2026-07-22
1784887069,3,200,1.069390,ready,2026-07-22
1784887069,4,200,1.099548,ready,2026-07-22
1784887070,2,200,1.111933,ready,2026-07-22
1784887070,6,200,1.113206,ready,2026-07-22
1784887071,1,200,1.107643,ready,2026-07-22
1784887071,2,200,1.012623,ready,2026-07-22
1784887071,5,200,1.114551,ready,2026-07-22
1784887071,3,200,1.067792,ready,2026-07-22
1784887071,4,200,1.076316,ready,2026-07-22
1784887071,6,200,1.044008,ready,2026-07-22
1784887072,3,200,1.037400,ready,2026-07-22
