epoch,vmpeak_kb,vmsize_kb,vmrss_kb,vmhwm_kb
1785900965.133,3001348,2983940,2429636,2429636
1785900965.383,3001348,2983940,2429636,2429636
1785900965.634,3001348,2990084,2435168,2435168
1785900965.884,3001348,2990084,2435168,2435168
1785900966.134,3001348,2995204,2440472,2440472
1785900966.384,3001348,2995204,2440472,2440472
1785900966.635,3001348,3001348,2446608,2446608
1785900966.885,3001348,3001348,2446608,2446608
1785900967.135,3007492,3007492,2452860,2452860
1785900967.385,3007492,3007492,2452860,2452860
1785900967.636,3007492,3007492,2452904,2452904
1785900967.886,3007492,3007492,2452904,2452904
1785900968.136,3015684,3015684,2460840,2460840
1785900968.387,3015684,3015684,2460840,2460840
1785900968.637,3032068,3032068,2476812,2476812
1785900968.887,3032068,3032068,2476812,2476812
1785900969.138,3051524,3051524,2497024,2497024
1785900969.388,3051524,3051524,2497024,2497024
1785900969.638,3064836,3064836,2510172,2510172
1785900969.888,3068932,3068932,2514648,2514648
1785900970.139,3081220,3081220,2526828,2526828
1785900970.389,3081220,3081220,2526828,2526828
1785900970.639,3100676,3100676,2545448,2545448
1785900970.890,3100676,3100676,2545448,2545448
1785900971.140,3116036,3116036,2561760,2561760
1785900971.390,3116036,3116036,2561760,2561760
1785900971.641,3134468,3134468,2579792,2579792
1785900971.891,3134468,3134468,2579792,2579792
1785900972.141,3153924,3153924,2598908,2598908
1785900972.391,3155972,3155972,2601172,2601172
1785900972.642,3169284,3169284,2614488,2614488
1785900972.892,3179524,3179524,2624996,2624996
1785900973.142,3183620,3183620,2628704,2628704
1785900973.392,3205124,3205124,2650304,2650304
1785900973.643,3205124,3205124,2650304,2650304
1785900973.893,3232772,3232772,2677888,2677888
1785900974.143,3232772,3232772,2677888,2677888
1785900974.394,3251204,3251204,2696512,2696512
1785900974.644,3261444,3261444,2706664,2706664
1785900974.894,3264516,3264516,2709304,2709304
1785900975.145,3291140,3291140,2739200,2739200
1785900975.395,3291140,3291140,2739200,2739200
1785900975.645,3446788,3381252,2772968,2772968
1785900975.895,3446788,3393540,2790032,2790032
1785900976.146,3446788,3393540,2790032,2790032
1785900976.396,3446788,3431428,2843760,2843760
1785900976.646,3446788,3431428,2843760,2843760
1785900976.896,3446788,3437572,2852072,2852072
1785900977.147,3471364,3471364,2899872,2899872
1785900977.397,3471364,3471364,2899872,2899872
1785900977.647,3483652,3483652,2915960,2915960
1785900977.897,3514372,3514372,2960344,2960344
1785900978.148,3514372,3514372,2960344,2960344
1785900978.398,3527684,3527684,2978812,2978812
1785900978.648,3673092,3630084,3029776,3029776
1785900978.899,3673092,3630084,3029776,3029776
1785900979.149,3673092,3636228,3039704,3039704
1785900979.399,3677188,3677188,3096600,3096600
1785900979.649,3680260,3680260,3100780,3100780
1785900979.900,3680260,3680260,3100780,3100780
1785900980.150,3719172,3719172,3155588,3155588
1785900980.400,3737604,3737604,3180956,3180956
1785900980.650,3737604,3737604,3180956,3180956
1785900980.901,3757060,3757060,3208100,3208100
1785900981.151,3800068,3800068,3253536,3253536
1785900981.401,3800068,3800068,3253536,3253536
1785900981.652,3800068,3800068,3253536,3253536
1785900981.902,3835908,3835908,3292028,3292028
1785900982.152,3982340,3931140,3323768,3323768
1785900982.403,3982340,3931140,3323768,3323768
1785900982.653,3982340,3936260,3328708,3328708
1785900982.903,3982340,3979268,3374296,3374296
1785900983.153,4007940,4007940,3404132,3404132
1785900983.404,4007940,4007940,3404132,3404132
1785900983.654,4012036,4012036,3408592,3408592
1785900983.904,4052996,4052996,3452428,3452428
1785900984.154,4069380,4069380,3471712,3471712
1785900984.405,4071428,4071428,3472912,3472912
1785900984.655,4073476,4073476,3475688,3475688
1785900984.905,4076548,4076548,3478876,3478876
1785900985.155,4079620,4079620,3482112,3482112
1785900985.406,4082692,4082692,3485212,3485212
1785900985.656,4085764,4085764,3488400,3488400
1785900985.906,4088836,4088836,3491576,3491576
1785900986.157,4091908,4091908,3494880,3494880
1785900986.407,4094980,4094980,3498244,3498244
1785900986.657,4098052,4098052,3501460,3501460
1785900986.908,4101124,4101124,3504664,3504664
1785900987.158,4104196,4104196,3507844,3507844
1785900987.408,4107268,4107268,3511188,3511188
1785900987.658,4110340,4110340,3514348,3514348
1785900987.909,4113412,4113412,3517504,3517504
1785900988.159,4116484,4116484,3520788,3520788
1785900988.409,4119556,4119556,3523976,3523976
1785900988.659,4122628,4122628,3527164,3527164
1785900988.910,4125700,4125700,3530316,3530316
1785900989.160,4128772,4128772,3533536,3533536
1785900989.410,4131844,4131844,3536712,3536712
1785900989.661,4134916,4134916,3539896,3539896
1785900989.911,4137988,4137988,3543148,3543148
1785900990.161,4141060,4141060,3546400,3546400
1785900990.412,4144132,4144132,3549576,3549576
1785900990.662,4147204,4147204,3552812,3552812
1785900990.912,4150276,4150276,3556064,3556064
1785900991.163,4153348,4153348,3559248,3559248
1785900991.413,4157444,4157444,3562860,3562860
1785900991.663,4160516,4160516,3566384,3566384
1785900991.913,4163588,4163588,3569728,3569728
1785900992.164,4166660,4166660,3573388,3573388
1785900992.414,4170756,4170756,3577056,3577056
1785900992.664,4173828,4173828,3580696,3580696
1785900992.914,4176900,4176900,3584052,3584052
1785900993.165,4180996,4180996,3587604,3587604
1785900993.415,4184068,4184068,3590992,3590992
1785900993.665,4187140,4187140,3594404,3594404
1785900993.915,4190212,4190196,3597760,3597760
1785900994.166,4193268,4193268,3601032,3601032
1785900994.416,4196340,4196340,3604460,3604460
1785900994.666,4201460,4201460,3609388,3609388
1785900994.916,4206580,4206580,3614444,3614444
1785900995.166,4210676,4210676,3618612,3618612
1785900995.417,4213748,4213748,3622500,3622500
1785900995.667,4217844,4217844,3626184,3626184
1785900995.917,4220916,4220916,3629636,3629636
1785900996.167,4223988,4223988,3633116,3633116
1785900996.417,4227060,4227060,3636540,3636540
1785900996.668,4231156,4231156,3640108,3640108
1785900996.918,4234228,4234228,3643472,3643472
1785900997.168,4237300,4237300,3647088,3647088
1785900997.418,4240372,4240372,3650328,3650328
1785900997.669,4243444,4243444,3653572,3653572
1785900997.919,4243444,4243444,3653572,3653572
1785900998.169,4243444,4243444,3653572,3653572
1785900998.419,4243444,4243444,3653572,3653572
1785900998.670,4243444,4243444,3653572,3653572
1785900998.920,4243444,3632112,3042432,3652312
1785900999.170,4243444,3496960,2908468,3652312
1785900999.420,4243444,3496960,2908624,3652312
1785900999.671,4243444,3496960,2908636,3652312
1785900999.921,4243444,3496960,2908636,3652312
1785901000.171,4243444,3496960,2908704,3652312
1785901000.422,4243444,3496960,2917168,3652312
1785901000.672,4243444,3458048,2879760,3652312
1785901000.922,4243444,3458048,2889976,3652312
1785901001.172,4243444,3300352,2733832,3652312
1785901001.423,4243444,3300352,2733832,3652312
1785901001.673,4243444,3300352,2733832,3652312
1785901001.923,4243444,3300352,2733832,3652312
1785901002.174,4243444,3300352,2733832,3652312
1785901002.424,4243444,3300352,2706032,3652312
1785901002.674,4243444,3300352,2745740,3652312
1785901002.924,4243444,3180544,2625188,3652312
1785901003.175,4243444,2656256,2116948,3652312
1785901003.425,4243444,2644992,2105684,3652312
1785901003.675,4243444,2644992,2105684,3652312
1785901003.925,4243444,2644992,2105684,3652312
1785901004.175,4243444,2644992,2105684,3652312
1785901004.426,4243444,2643968,2104660,3652312
1785901004.676,4243444,2643968,2104660,3652312
1785901004.926,4243444,2642944,2103636,3652312
1785901005.177,4243444,2642944,2103636,3652312
1785901005.427,4243444,2642944,2103636,3652312
1785901005.677,4243444,2642944,2103636,3652312
1785901005.928,4243444,2642944,2103636,3652312
1785901006.178,4243444,2641920,2102612,3652312
1785901006.428,4243444,2641920,2102612,3652312
1785901006.678,4243444,2641920,2102612,3652312
1785901006.929,4243444,2641920,2102612,3652312
1785901007.179,4243444,2641920,2102616,3652312
1785901007.429,4243444,2641920,2102616,3652312
1785901007.680,4243444,2641920,2102616,3652312
1785901007.930,4243444,2641920,2102616,3652312
1785901008.180,4243444,2641920,2102616,3652312
1785901008.430,4243444,2639872,2100568,3652312
1785901008.681,4243444,2639872,2100568,3652312
1785901008.931,4243444,2638848,2099556,3652312
1785901009.181,4243444,2638848,2099560,3652312
1785901009.432,4243444,2638848,2099564,3652312
1785901009.682,4243444,2638848,2099564,3652312
1785901009.932,4243444,2638848,2099564,3652312
1785901010.182,4243444,2638848,2099564,3652312
1785901010.433,4243444,2638848,2099568,3652312
1785901010.683,4243444,2638848,2099568,3652312
1785901010.933,4243444,2638848,2099568,3652312
1785901011.184,4243444,2637824,2098544,3652312
1785901011.434,4243444,2637824,2098544,3652312
1785901011.684,4243444,2637824,2098544,3652312
1785901011.934,4243444,2637824,2098544,3652312
1785901012.185,4243444,2637824,2098544,3652312
1785901012.435,4243444,2637824,2098544,3652312
1785901012.685,4243444,2652796,2113576,3652312
1785901012.936,4243444,2652796,2113576,3652312
1785901013.186,4243444,2652796,2113576,3652312
1785901013.436,4243444,2652796,2113576,3652312
1785901013.686,4243444,2652796,2113576,3652312
1785901013.937,4243444,2652796,2113576,3652312
1785901014.187,4243444,2652796,2113576,3652312
1785901014.437,4243444,2652796,2113576,3652312
1785901014.687,4243444,2652796,2113576,3652312
1785901014.938,4243444,2652796,2113576,3652312
1785901015.188,4243444,2652796,2113576,3652312
1785901015.438,4243444,2652796,2113576,3652312
1785901015.689,4243444,2652796,2113576,3652312
1785901015.939,4243444,2652796,2113576,3652312
1785901016.189,4243444,2652796,2113576,3652312
1785901016.439,4243444,2652796,2113576,3652312
1785901016.690,4243444,2652796,2113576,3652312
1785901016.940,4243444,2652796,2113576,3652312
1785901017.190,4243444,2652796,2113576,3652312
1785901017.441,4243444,2652796,2113576,3652312
1785901017.691,4243444,2652796,2113576,3652312
1785901017.941,4243444,2652796,2113576,3652312
1785901018.192,4243444,2652796,2113576,3652312
1785901018.442,4243444,2652780,2113552,3652312
1785901018.693,4243444,2652780,2113552,3652312
1785901018.943,4243444,2652780,2113552,3652312
1785901019.193,4243444,2652780,2113552,3652312
