elapsed_s,vmpeak_kb,vmhwm_kb,vmrss_kb,job_status
53.522,3546604,3092756,3092756,running
54.059,3547628,3093748,3093748,running
54.591,3548652,3094708,3094708,running
55.093,3549676,3095516,3095516,running
55.603,3549676,3096012,3096012,running
56.735,3550700,3096620,3096620,running
57.278,3550700,3097460,3097460,running
57.827,3552748,3098492,3098492,running
58.359,3552748,3098716,3098716,running
58.862,3552748,3099476,3099476,running
59.394,3553772,3100028,3100028,running
59.974,3554796,3100740,3100740,running
60.512,3554796,3101404,3101404,running
61.031,3555820,3102104,3102104,running
61.579,3564016,3110700,3110700,running
62.081,3565040,3111504,3111504,running
62.631,3565104,3110768,3103604,running
63.327,3565104,3110768,3045816,running
63.874,3565104,3110768,1843316,running
64.378,3565104,3110768,1841280,running
64.909,3565104,3110768,1576128,running
65.413,3565104,3110768,1576128,running
66.0,3565104,3110768,1576128,running
66.595,3565104,3110768,1576128,running
67.119,3565104,3110768,1576128,running
67.62,3565104,3110768,1576128,running
68.228,3565104,3110768,1576128,running
68.73,3565104,3110768,1576128,running
69.293,3565104,3110768,1576136,running
69.809,3565104,3110768,1564872,running
70.393,3565104,3110768,1564872,running
70.898,3565104,3110768,1564872,running
71.503,3565104,3110768,1564872,running
72.043,3565104,3110768,1564872,running
72.582,3565104,3110768,1564872,running
73.205,3565104,3110768,1564872,running
73.707,3565104,3110768,1564872,running
74.209,3565104,3110768,1564872,running
74.828,3565104,3110768,1564872,running
75.344,3565104,3110768,1564872,running
75.846,3565104,3110768,1564872,running
76.398,3565104,3110768,1564872,running
76.906,3565104,3110768,1564872,running
77.455,3565104,3110768,1564872,running
77.958,3565104,3110768,1564872,running
78.5,3565104,3110768,1564872,running
79.094,3565104,3110768,1564872,running
79.667,3565104,3110768,1564872,running
80.298,3565104,3110768,1564872,running
80.893,3565104,3110768,1564872,running
81.559,3565104,3110768,1564872,running
82.121,3565104,3110768,1564876,running
82.623,3565104,3110768,1564876,running
83.144,3565104,3110768,1564876,running
83.654,3565104,3110768,1564876,running
84.179,3565104,3110768,1564876,running
84.706,3565104,3110768,1564876,running
85.208,3565104,3110768,1564876,running
85.821,3565104,3110768,1564876,running
86.397,3565104,3110768,1564876,running
86.999,3565104,3110768,1564876,running
87.612,3565104,3110768,1564876,running
88.117,3565104,3110768,1564876,running
88.618,3565104,3110768,1564876,running
89.198,3565104,3110768,1564876,running
89.7,3565104,3110768,1564876,running
90.215,3565104,3110768,1564876,running
90.717,3565104,3110768,1564876,running
91.219,3565104,3110768,1564876,running
91.737,3565104,3110768,1564876,running
92.274,3565104,3110768,1564876,running
92.826,3565104,3110768,1564876,running
93.406,3565104,3110768,1564876,running
93.907,3565104,3110768,1564876,running
94.48,3565104,3110768,1564876,running
94.982,3565104,3110768,1564876,running
95.484,3565104,3110768,1564876,running
96.094,3565104,3110768,1564876,running
96.61,3565104,3110768,1564876,running
97.113,3565104,3110768,1564876,running
97.615,3565104,3110768,1564876,running
98.116,3565104,3110768,1564876,running
98.618,3565104,3110768,1564876,running
99.207,3565104,3110768,1564876,running
99.822,3565104,3110768,1564876,running
100.387,3565104,3110768,1564876,running
100.889,3565104,3110768,1564872,running
101.423,3565104,3110768,1564872,running
101.926,3565104,3110768,1564872,running
102.428,3565104,3110768,1564872,running
102.951,3565104,3110768,1564872,running
103.452,3565104,3110768,1564872,running
103.981,3565104,3110768,1564876,running
104.502,3565104,3110768,1564876,running
105.045,3565104,3110768,1564876,running
105.547,3565104,3110768,1564876,running
106.049,3565104,3110768,1564876,running
106.596,3565104,3110768,1564876,running
107.106,3565104,3110768,1564876,running
107.614,3565104,3110768,1564876,running
108.117,3565104,3110768,1564876,running
108.708,3565104,3110768,1564876,running
109.211,3565104,3110768,1564876,running
109.716,3565104,3110768,1564876,running
110.232,3565104,3110768,1564876,running
110.739,3565104,3110768,1564876,running
111.347,3565104,3110768,1564876,running
111.868,3565104,3110768,1564876,running
112.382,3565104,3110768,1564876,running
112.953,3565104,3110768,1564876,running
113.455,3565104,3110768,1564876,running
113.989,3565104,3110768,1564884,running
114.566,3565104,3110768,1564884,running
115.09,3565104,3110768,1564896,running
115.665,3565104,3110768,1564908,running
116.176,3565104,3110768,1564916,running
116.68,3565104,3110768,1564944,running
117.264,3565104,3110768,1564948,running
117.766,3565104,3110768,1564960,running
118.268,3565104,3110768,1564972,running
118.771,3565104,3110768,1565000,running
119.274,3565104,3110768,1565048,running
119.908,3565104,3110768,1565060,running
120.551,3565104,3110768,1565076,running
121.052,3565104,3110768,1565088,running
121.554,3565104,3110768,1565100,running
122.057,3565104,3110768,1565108,running
122.563,3565104,3110768,1565124,running
123.203,3565104,3110768,1565136,running
123.767,3565104,3110768,1565136,running
124.272,3565104,3110768,1565140,running
124.773,3565104,3110768,1565144,running
125.279,3565104,3110768,1565152,running
125.781,3565104,3110768,1565152,running
126.405,3565104,3110768,1565164,running
127.038,3565104,3110768,1565180,running
127.637,3565104,3110768,1565204,running
128.139,3565104,3110768,1565232,running
128.641,3565104,3110768,1565268,running
129.277,3565104,3110768,1447552,running
129.847,3565104,3110768,1440400,running
130.453,3565104,3110768,1439392,running
130.956,3565104,3110768,1439392,running
131.54,3565104,3110768,1439392,running
132.145,3565104,3110768,1439392,running
132.654,3565104,3110768,1439392,running
133.157,3565104,3110768,1439392,running
133.668,3565104,3110768,1439392,running
134.244,3565104,3110768,1439392,running
134.777,3565104,3110768,1439392,running
135.279,3565104,3110768,1439392,running
135.862,3565104,3110768,1439392,running
136.364,3565104,3110768,1439392,running
136.867,3565104,3110768,1439392,running
137.388,3565104,3110768,1439392,running
138.013,3565104,3110768,1439392,running
138.587,3565104,3110768,1439392,running
139.183,3565104,3110768,1439392,running
139.686,3565104,3110768,1439392,running
140.268,3565104,3110768,1439392,running
140.789,3565104,3110768,1439392,running
141.291,3565104,3110768,1439392,running
141.92,3565104,3110768,1439392,running
142.503,3565104,3110768,1439392,running
143.123,3565104,3110768,1439384,running
143.75,3565104,3110768,1439384,running
144.274,3565104,3110768,1439384,running
144.781,3565104,3110768,1439384,running
145.296,3565104,3110768,1439384,running
145.812,3565104,3110768,1439384,running
146.314,3565104,3110768,1439384,running
146.846,3565104,3110768,1434264,running
147.422,3565104,3110768,1432216,running
147.935,3565104,3110768,1432216,running
148.448,3565104,3110768,1432312,running
149.019,3565104,3110768,1432432,running
149.535,3565104,3110768,1432524,running
150.067,3565104,3110768,1432596,running
150.568,3565104,3110768,1432604,running
151.115,3565104,3110768,1432604,running
151.616,3565104,3110768,1432608,running
152.187,3565104,3110768,1432608,running
152.689,3565104,3110768,1432612,running
153.259,3565104,3110768,1432616,running
153.763,3565104,3110768,1432652,running
154.266,3565104,3110768,1432660,running
154.769,3565104,3110768,1432668,running
155.272,3565104,3110768,1432680,running
155.853,3565104,3110768,1432680,running
156.773,3565104,3110768,1456128,running
157.346,3565104,3110768,1479552,running
157.915,3565104,3110768,1490216,running
158.517,3565104,3110768,1493732,running
159.148,3565104,3110768,1497120,running
159.725,3565104,3110768,1500272,running
160.227,3565104,3110768,1503540,running
160.767,3565104,3110768,1507852,running
161.355,3565104,3110768,1511516,running
161.857,3565104,3110768,1515208,running
162.424,3565104,3110768,1519764,running
163.043,3565104,3110768,1523356,running
163.544,3565104,3110768,1527572,running
164.079,3565104,3110768,1532888,running
164.621,3565104,3110768,1532968,running
165.147,3565104,3110768,1533452,running
165.65,3565104,3110768,1536844,running
166.173,3565104,3110768,1540496,running
166.704,3565104,3110768,1544056,running
167.205,3565104,3110768,1546876,running
167.738,3565104,3110768,1551416,running
168.265,3565104,3110768,1554900,running
168.872,3565104,3110768,1558408,running
169.374,3565104,3110768,1562076,running
169.876,3565104,3110768,1565612,running
170.378,3565104,3110768,1568640,running
170.88,3565104,3110768,1575332,running
171.39,3565104,3110768,1575572,running
171.909,3565104,3110768,1575988,running
172.413,3565104,3110768,1576740,running
172.915,3565104,3110768,1579108,running
173.474,3565104,3110768,1581768,running
174.061,3565104,3110768,1584188,running
174.565,3565104,3110768,1584556,running
175.166,3565104,3110768,1585016,running
175.774,3565104,3110768,1585240,running
176.284,3565104,3110768,1586520,running
176.786,3565104,3110768,1586520,running
177.288,3565104,3110768,1586520,running
177.813,3565104,3110768,1586520,running
178.316,3565104,3110768,1587608,running
178.818,3565104,3110768,1587612,running
179.32,3565104,3110768,1587612,running
179.822,3565104,3110768,1587612,running
180.327,3565104,3110768,1587616,running
180.829,3565104,3110768,1587616,running
181.407,3565104,3110768,1587616,running
181.985,3565104,3110768,1587616,running
182.487,3565104,3110768,1587616,running
183.076,3565104,3110768,1587616,running
183.59,3565104,3110768,1587616,running
184.102,3565104,3110768,1587636,running
184.604,3565104,3110768,1587636,running
185.106,3565104,3110768,1587920,running
185.645,3565104,3110768,1587936,running
186.15,3565104,3110768,1587936,running
186.7,3565104,3110768,1587936,running
187.202,3565104,3110768,1587936,running
187.704,3565104,3110768,1587936,running
188.224,3565104,3110768,1587936,running
188.832,3565104,3110768,1587936,running
189.335,3565104,3110768,1587936,running
189.96,3565104,3110768,1587936,running
190.462,3565104,3110768,1587936,running
190.964,3565104,3110768,1587936,running
191.481,3565104,3110768,1587936,running
191.989,3565104,3110768,1587936,running
192.51,3565104,3110768,1587936,running
193.148,3565104,3110768,1587936,running
193.737,3565104,3110768,1587936,running
194.275,3565104,3110768,1587936,running
194.854,3565104,3110768,1587936,running
195.478,3565104,3110768,1587936,running
195.979,3565104,3110768,1587936,running
196.482,3565104,3110768,1587936,running
197.059,3565104,3110768,1587936,running
197.63,3565104,3110768,1587936,running
198.132,3565104,3110768,1587936,running
198.645,3565104,3110768,1587936,running
199.231,3565104,3110768,1587936,running
199.79,3565104,3110768,1587936,running
200.292,3565104,3110768,1587936,running
200.846,3565104,3110768,1587936,running
201.46,3565104,3110768,1587936,running
202.072,3565104,3110768,1587936,running
202.573,3565104,3110768,1587936,running
203.077,3565104,3110768,1587936,running
203.58,3565104,3110768,1587936,running
204.082,3565104,3110768,1587936,running
204.596,3565104,3110768,1587936,running
205.098,3565104,3110768,1587936,running
205.6,3565104,3110768,1587936,running
206.118,3565104,3110768,1587936,running
206.664,3565104,3110768,1587936,running
207.167,3565104,3110768,1587936,running
207.726,3565104,3110768,1587936,running
208.328,3565104,3110768,1586912,running
208.933,3565104,3110768,1586912,running
209.435,3565104,3110768,1586912,running
210.003,3565104,3110768,1586912,running
210.511,3565104,3110768,1586912,running
211.012,3565104,3110768,1586912,running
211.514,3565104,3110768,1586912,running
212.064,3565104,3110768,1586912,running
212.6,3565104,3110768,1586912,running
213.104,3565104,3110768,1586912,running
213.619,3565104,3110768,1586912,running
214.179,3565104,3110768,1586912,running
214.685,3565104,3110768,1586912,running
215.24,3565104,3110768,1586912,running
215.741,3565104,3110768,1586912,running
216.244,3565104,3110768,1588256,running
216.747,3565104,3110768,1588256,running
217.249,3565104,3110768,1588264,running
217.784,3565104,3110768,1590328,running
218.37,3565104,3110768,1628264,running
218.924,3565104,3110768,1597864,running
219.534,3565104,3110768,1602052,running
220.046,3565104,3110768,1587968,running
220.549,3565104,3110768,1589412,running
221.053,3565104,3110768,1590996,running
221.556,3565104,3110768,1590996,running
222.137,3565104,3110768,1590996,running
222.642,3565104,3110768,1590996,running
223.144,3565104,3110768,1590996,running
223.653,3565104,3110768,1591000,running
224.155,3565104,3110768,1591000,running
224.76,3565104,3110768,1591000,running
225.262,3565104,3110768,1591000,running
225.77,3565104,3110768,1591000,running
226.362,3565104,3110768,1595444,running
227.016,3565104,3110768,1627504,running
227.738,3565104,3110768,1636636,running
228.24,3565104,3110768,1636636,running
228.854,3565104,3110768,1636636,running
229.573,3565104,3110768,1640268,running
230.075,3565104,3110768,1653676,running
230.577,3565104,3110768,1682332,running
231.272,3565104,3110768,1715300,running
231.776,3565104,3110768,1722592,running
232.495,3565104,3110768,1722592,running
233.001,3565104,3110768,1722596,running
233.509,3565104,3110768,1722740,running
234.011,3565104,3110768,1732912,running
234.518,3565104,3110768,1766344,running
235.022,3565104,3110768,1778736,running
235.523,3565104,3110768,1813904,running
236.038,3565104,3110768,1813916,running
236.54,3565104,3110768,1813916,running
237.042,3565104,3110768,1813916,running
237.546,3565104,3110768,1813916,running
238.206,3565104,3110768,1826844,running
238.708,3565104,3110768,1851536,running
239.503,3565104,3110768,1880232,running
